,ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,cellchat_pvals
11200,Col4a1,Col4a1,0.8516129032258064,0.3597603785398131,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.1588207720753874,SMCs & Pericytes,SMCs & Pericytes,0.1025553461673417,0.0
10125,Col4a1,Col4a1,0.7620967741935484,0.331429908819355,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.1588207720753874,ASPC,SMCs & Pericytes,0.0952485322910786,0.0
10171,Col3a1,Col3a1,0.717741935483871,0.232539192206729,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.1588207720753874,ASPC,SMCs & Pericytes,0.0687834778458375,0.0
10329,Col4a1,Col4a1,0.6530291759649558,0.2320338125321453,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.1588207720753874,Adipocytes,SMCs & Pericytes,0.0686442515264091,0.0
10165,Col5a3,Col5a3,0.5591397849462365,0.1932164066429033,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.1588207720753874,ASPC,SMCs & Pericytes,0.0578246530757436,0.0
10167,Col5a2,Col5a2,0.5672043010752689,0.1741883469371826,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.1588207720753874,ASPC,SMCs & Pericytes,0.0524286091003567,0.0
10137,Col6a2,Col6a2,0.5604838709677419,0.1724458980070434,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.1588207720753874,ASPC,SMCs & Pericytes,0.0519313885556942,0.0
1534,Col4a1,Col4a1,0.8516129032258064,0.3597603785398131,7.3557024,Itgb1,Itga1_Itgb1,0.4314516129032258,0.0628110479896118,SMCs & Pericytes,ASPC,0.04323968485011,0.0
42,Col4a1,Col4a1,0.7620967741935484,0.331429908819355,7.3557024,Itgb1,Itga1_Itgb1,0.4314516129032258,0.0628110479896118,ASPC,ASPC,0.0399707412107894,0.0
2707,Col4a1,Col4a1,0.8516129032258064,0.3597603785398131,7.3557024,Itgb1,Itga1_Itgb1,0.3639556988180841,0.055217356369035,SMCs & Pericytes,Adipocytes,0.0382118749647901,0.0
1772,Col4a1,Col4a1,0.7620967741935484,0.331429908819355,7.3557024,Itgb1,Itga1_Itgb1,0.3639556988180841,0.055217356369035,ASPC,Adipocytes,0.035309008792071,0.0
146,Col3a1,Col3a1,0.717741935483871,0.232539192206729,7.3557024,Itgb1,Itga1_Itgb1,0.4314516129032258,0.0628110479896118,ASPC,ASPC,0.0283829366533298,0.0
334,Col4a1,Col4a1,0.6530291759649558,0.2320338125321453,7.3557024,Itgb1,Itga1_Itgb1,0.4314516129032258,0.0628110479896118,Adipocytes,ASPC,0.0283229988443509,0.0
1818,Col3a1,Col3a1,0.717741935483871,0.232539192206729,7.3557024,Itgb1,Itga1_Itgb1,0.3639556988180841,0.055217356369035,ASPC,Adipocytes,0.0250374277596044,0.0
134,Col5a3,Col5a3,0.5591397849462365,0.1932164066429033,7.3557024,Itgb1,Itga1_Itgb1,0.4314516129032258,0.0628110479896118,ASPC,ASPC,0.0236970688022917,0.0
138,Col5a2,Col5a2,0.5672043010752689,0.1741883469371826,7.3557024,Itgb1,Itga1_Itgb1,0.4314516129032258,0.0628110479896118,ASPC,ASPC,0.021413340548702,0.0
72,Col6a2,Col6a2,0.5604838709677419,0.1724458980070434,7.3557024,Itgb1,Itga1_Itgb1,0.4314516129032258,0.0628110479896118,ASPC,ASPC,0.0212036795199732,0.0
1812,Col5a3,Col5a3,0.5591397849462365,0.1932164066429033,7.3557024,Itgb1,Itga1_Itgb1,0.3639556988180841,0.055217356369035,ASPC,Adipocytes,0.0208920088907634,0.0
11206,Col4a2,Col4a2,0.4419354838709677,0.0630536574601261,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.1588207720753874,SMCs & Pericytes,SMCs & Pericytes,0.0196351983139738,0.0
1814,Col5a2,Col5a2,0.5672043010752689,0.1741883469371826,7.3557024,Itgb1,Itga1_Itgb1,0.3639556988180841,0.055217356369035,ASPC,Adipocytes,0.0188733833488763,0.0
10131,Col4a2,Col4a2,0.3736559139784946,0.0600789687749132,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.1588207720753874,ASPC,SMCs & Pericytes,0.0187262132904026,0.0
1784,Col6a2,Col6a2,0.5604838709677419,0.1724458980070434,7.3557024,Itgb1,Itga1_Itgb1,0.3639556988180841,0.055217356369035,ASPC,Adipocytes,0.0186881164723113,0.0
10169,Col5a1,Col5a1,0.4018817204301075,0.0592944555195226,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.1588207720753874,ASPC,SMCs & Pericytes,0.0184862061351267,0.0
10121,Col6a6,Col6a6,0.325268817204301,0.0538205023607505,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.1588207720753874,ASPC,SMCs & Pericytes,0.0168082793937962,0.0
11198,Col6a6,Col6a6,0.3274193548387096,0.0507936645915804,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.1588207720753874,SMCs & Pericytes,SMCs & Pericytes,0.0158779995815568,0.0
11230,Col5a2,Col5a2,0.2758064516129032,0.0441162663588794,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.1588207720753874,SMCs & Pericytes,SMCs & Pericytes,0.0138195040611282,0.0
10123,Col1a1,Col1a1,0.2634408602150537,0.0438138634587417,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.1588207720753874,ASPC,SMCs & Pericytes,0.0137260760270392,0.0
10143,Col4a4,Col4a4,0.2701612903225806,0.0415019517988625,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.1588207720753874,ASPC,SMCs & Pericytes,0.0130112204654272,0.0
10331,Col4a2,Col4a2,0.26320357054302,0.040061588731602,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.1588207720753874,Adipocytes,SMCs & Pericytes,0.0125653282774925,0.0
1546,Col4a2,Col4a2,0.4419354838709677,0.0630536574601261,7.3557024,Itgb1,Itga1_Itgb1,0.4314516129032258,0.0628110479896118,SMCs & Pericytes,ASPC,0.0078586844989828,0.0
56,Col4a2,Col4a2,0.3736559139784946,0.0600789687749132,7.3557024,Itgb1,Itga1_Itgb1,0.4314516129032258,0.0628110479896118,ASPC,ASPC,0.0074907117377118,0.0
142,Col5a1,Col5a1,0.4018817204301075,0.0592944555195226,7.3557024,Itgb1,Itga1_Itgb1,0.4314516129032258,0.0628110479896118,ASPC,ASPC,0.0073936209638074,0.0
2713,Col4a2,Col4a2,0.4419354838709677,0.0630536574601261,7.3557024,Itgb1,Itga1_Itgb1,0.3639556988180841,0.055217356369035,SMCs & Pericytes,Adipocytes,0.0069151601274023,0.0
30,Col6a6,Col6a6,0.325268817204301,0.0538205023607505,7.3557024,Itgb1,Itga1_Itgb1,0.4314516129032258,0.0628110479896118,ASPC,ASPC,0.0067156395764443,0.0
1778,Col4a2,Col4a2,0.3736559139784946,0.0600789687749132,7.3557024,Itgb1,Itga1_Itgb1,0.3639556988180841,0.055217356369035,ASPC,Adipocytes,0.0065910731817985,0.0
1816,Col5a1,Col5a1,0.4018817204301075,0.0592944555195226,7.3557024,Itgb1,Itga1_Itgb1,0.3639556988180841,0.055217356369035,ASPC,Adipocytes,0.0065055666309794,0.0
1528,Col6a6,Col6a6,0.3274193548387096,0.0507936645915804,7.3557024,Itgb1,Itga1_Itgb1,0.4314516129032258,0.0628110479896118,SMCs & Pericytes,ASPC,0.0063403500608915,0.0
1768,Col6a6,Col6a6,0.325268817204301,0.0538205023607505,7.3557024,Itgb1,Itga1_Itgb1,0.3639556988180841,0.055217356369035,ASPC,Adipocytes,0.0059085334526237,0.0
2705,Col6a6,Col6a6,0.3274193548387096,0.0507936645915804,7.3557024,Itgb1,Itga1_Itgb1,0.3639556988180841,0.055217356369035,SMCs & Pericytes,Adipocytes,0.0055780940877084,0.0
1598,Col5a2,Col5a2,0.2758064516129032,0.0441162663588794,7.3557024,Itgb1,Itga1_Itgb1,0.4314516129032258,0.0628110479896118,SMCs & Pericytes,ASPC,0.0055114336038436,0.0
36,Col1a1,Col1a1,0.2634408602150537,0.0438138634587417,7.3557024,Itgb1,Itga1_Itgb1,0.4314516129032258,0.0628110479896118,ASPC,ASPC,0.0054738612863529,0.0
88,Col4a4,Col4a4,0.2701612903225806,0.0415019517988625,7.3557024,Itgb1,Itga1_Itgb1,0.4314516129032258,0.0628110479896118,ASPC,ASPC,0.0051865219177262,0.0
2737,Col5a2,Col5a2,0.2758064516129032,0.0441162663588794,7.3557024,Itgb1,Itga1_Itgb1,0.3639556988180841,0.055217356369035,SMCs & Pericytes,Adipocytes,0.0048483462186557,0.0
1770,Col1a1,Col1a1,0.2634408602150537,0.0438138634587417,7.3557024,Itgb1,Itga1_Itgb1,0.3639556988180841,0.055217356369035,ASPC,Adipocytes,0.0048152723856423,0.0
1790,Col4a4,Col4a4,0.2701612903225806,0.0415019517988625,7.3557024,Itgb1,Itga1_Itgb1,0.3639556988180841,0.055217356369035,ASPC,Adipocytes,0.0045623457259837,0.0
